node_id,x,y,z,floor,zone
361,32.0,0.0,141.0,23,tower
362,32.0,0.0,147.0,24,tower
363,32.0,0.0,153.0,25,tower
364,32.0,8.0,81.0,13,tower
365,32.0,8.0,87.0,14,tower
366,32.0,8.0,93.0,15,tower
367,32.0,8.0,99.0,16,tower
368,32.0,8.0,105.0,17,tower
369,32.0,8.0,111.0,18,tower
370,32.0,8.0,117.0,19,tower
371,32.0,8.0,123.0,20,tower
372,32.0,8.0,129.0,21,tower
373,32.0,8.0,135.0,22,tower
374,32.0,8.0,141.0,23,tower
375,32.0,8.0,147.0,24,tower
376,32.0,8.0,153.0,25,tower
377,32.0,16.0,81.0,13,tower
378,32.0,16.0,87.0,14,tower
379,32.0,16.0,93.0,15,tower
380,32.0,16.0,99.0,16,tower
381,32.0,16.0,105.0,17,tower
382,32.0,16.0,111.0,18,tower
383,32.0,16.0,117.0,19,tower
384,32.0,16.0,123.0,20,tower
385,32.0,16.0,129.0,21,tower
386,32.0,16.0,135.0,22,tower
387,32.0,16.0,141.0,23,tower
388,32.0,16.0,147.0,24,tower
389,32.0,16.0,153.0,25,tower
390,20.0,0.0,0.0,0,chevron_node
391,20.0,0.0,9.0,1,chevron_node
392,20.0,0.0,15.0,2,chevron_node
393,20.0,0.0,21.0,3,chevron_node
394,20.0,0.0,27.0,4,chevron_node
395,20.0,0.0,33.0,5,chevron_node
396,20.0,0.0,39.0,6,chevron_node
397,20.0,0.0,45.0,7,chevron_node
398,20.0,0.0,51.0,8,chevron_node
399,20.0,0.0,57.0,9,chevron_node
400,20.0,0.0,63.0,10,chevron_node
401,20.0,0.0,69.0,11,chevron_node
402,20.0,0.0,75.0,12,chevron_node
403,20.0,0.0,81.0,13,chevron_node
404,20.0,0.0,87.0,14,chevron_node
405,20.0,0.0,93.0,15,chevron_node
406,20.0,0.0,99.0,16,chevron_node
407,20.0,0.0,105.0,17,chevron_node
408,20.0,0.0,111.0,18,chevron_node
409,20.0,0.0,117.0,19,chevron_node
410,20.0,0.0,123.0,20,chevron_node
411,20.0,0.0,129.0,21,chevron_node
412,20.0,0.0,135.0,22,chevron_node
413,20.0,0.0,141.0,23,chevron_node
414,20.0,0.0,147.0,24,chevron_node
415,20.0,0.0,153.0,25,chevron_node
416,20.0,16.0,0.0,0,chevron_node
417,20.0,16.0,9.0,1,chevron_node
418,20.0,16.0,15.0,2,chevron_node
419,20.0,16.0,21.0,3,chevron_node
420,20.0,16.0,27.0,4,chevron_node
421,20.0,16.0,33.0,5,chevron_node
422,20.0,16.0,39.0,6,chevron_node
423,20.0,16.0,45.0,7,chevron_node
424,20.0,16.0,51.0,8,chevron_node
425,20.0,16.0,57.0,9,chevron_node
426,20.0,16.0,63.0,10,chevron_node
427,20.0,16.0,69.0,11,chevron_node
428,20.0,16.0,75.0,12,chevron_node
429,20.0,16.0,81.0,13,chevron_node
430,20.0,16.0,87.0,14,chevron_node
431,20.0,16.0,93.0,15,chevron_node
432,20.0,16.0,99.0,16,chevron_node
433,20.0,16.0,105.0,17,chevron_node
434,20.0,16.0,111.0,18,chevron_node
435,20.0,16.0,117.0,19,chevron_node
436,20.0,16.0,123.0,20,chevron_node
437,20.0,16.0,129.0,21,chevron_node
438,20.0,16.0,135.0,22,chevron_node
439,20.0,16.0,141.0,23,chevron_node
440,20.0,16.0,147.0,24,chevron_node
441,20.0,16.0,153.0,25,chevron_node
