time_s,disp_mm,vel_mm_s,accel_m_s2
5.250000000000000000e+00,-2.747465819474132279e-02,-7.911152199985647115e+00,4.292323164954958692e-02
5.251000000000000334e+00,-3.536254467673883434e-02,-7.864620764009379705e+00,5.013964030298700969e-02
5.251999999999999780e+00,-4.320031346572966030e-02,-7.810916813972261785e+00,5.726825977124527789e-02
5.253000000000000114e+00,-5.098020968305368855e-02,-7.748875620675794273e+00,6.681412682168974548e-02
5.254000000000000448e+00,-5.869387279410610836e-02,-7.678450601429050337e+00,7.403591167179990329e-02
5.254999999999999893e+00,-6.633450844558312631e-02,-7.602820701524988678e+00,7.722388813632341531e-02
5.256000000000000227e+00,-7.389632443471196022e-02,-7.520811276732684014e+00,8.679496144828413584e-02
5.256999999999999673e+00,-8.137216610099710923e-02,-7.430872055837611789e+00,9.308348034185676134e-02
5.258000000000000007e+00,-8.875587378748968359e-02,-7.336543317147529386e+00,9.557399703830449234e-02
5.259000000000000341e+00,-9.604361001312819446e-02,-7.238929134129479692e+00,9.965436899779311908e-02
5.259999999999999787e+00,-1.032316411496371211e-01,-7.137133138888398065e+00,1.039376214843701351e-01
5.261000000000000121e+00,-1.103158198544960389e-01,-7.031224270829421918e+00,1.078801146335839345e-01
5.262000000000000455e+00,-1.172921796184849125e-01,-6.921495257148323255e+00,1.115779127286133932e-01
5.262999999999999901e+00,-1.241562882867716794e-01,-6.806722079425207461e+00,1.179684427176181938e-01
5.264000000000000234e+00,-1.309028452542841392e-01,-6.686391855599728373e+00,1.226920049333417584e-01
5.264999999999999680e+00,-1.375274748391558666e-01,-6.562867314143726816e+00,1.243570779786613567e-01
5.266000000000000014e+00,-1.440271531869947719e-01,-6.436489381534071796e+00,1.283987872406486819e-01
5.267000000000000348e+00,-1.503978080428970965e-01,-6.304820330270556994e+00,1.349393152863809231e-01
5.267999999999999794e+00,-1.566337773206843975e-01,-6.167118225304075274e+00,1.404648946465842929e-01
5.269000000000000128e+00,-1.627291695900393853e-01,-6.023666313405886541e+00,1.464389291497949497e-01
5.270000000000000462e+00,-1.686784925159715287e-01,-5.874979538458386052e+00,1.509346207452078037e-01
5.270999999999999908e+00,-1.744765095666631072e-01,-5.721054562924791753e+00,1.569153303219825712e-01
5.272000000000000242e+00,-1.801172305502980464e-01,-5.560387404345093820e+00,1.644189868374115182e-01
5.272999999999999687e+00,-1.855938485967124352e-01,-5.392848688483693920e+00,1.706584448853900593e-01
5.274000000000000021e+00,-1.909007456365917343e-01,-5.220945391274879555e+00,1.731481495322386710e-01
5.275000000000000355e+00,-1.960345272250177961e-01,-5.046617785577280024e+00,1.755070618629586132e-01
5.275999999999999801e+00,-2.009924009834820335e-01,-4.869129731351165447e+00,1.794690465892723186e-01
5.277000000000000135e+00,-2.057715323536256080e-01,-4.689133008935995939e+00,1.805243982410684733e-01
5.278000000000000469e+00,-2.103698236470337157e-01,-4.507449577880193736e+00,1.828424638705359317e-01
5.278999999999999915e+00,-2.147851475617171269e-01,-4.323198251486653376e+00,1.856601889165465646e-01
5.280000000000000249e+00,-2.190147511629597643e-01,-4.136008950998601108e+00,1.887184120595615244e-01
5.280999999999999694e+00,-2.230543948675240418e-01,-3.943278458129988451e+00,1.967425736776637901e-01
5.282000000000000028e+00,-2.268973887461621930e-01,-3.742709299146270485e+00,2.043957442897712529e-01
5.283000000000000362e+00,-2.305361951867467563e-01,-3.534903582022862700e+00,2.112156899570452051e-01
5.283999999999999808e+00,-2.339630717072256894e-01,-3.318849458935039909e+00,2.208925562186012659e-01
5.285000000000000142e+00,-2.371694637134872108e-01,-3.093934553587959879e+00,2.289372544755587935e-01
5.286000000000000476e+00,-2.401483325005451530e-01,-2.863803020527929899e+00,2.313258116445029433e-01
5.286999999999999922e+00,-2.428951173424904741e-01,-2.629766663362757662e+00,2.367469026858406433e-01
5.288000000000000256e+00,-2.454057611235726244e-01,-2.391520898801499762e+00,2.397446264366751567e-01
5.288999999999999702e+00,-2.476774518216381671e-01,-2.151860497329622035e+00,2.395761765070802962e-01
5.290000000000000036e+00,-2.497091519787041636e-01,-1.911539816802377834e+00,2.410651845474076627e-01
5.291000000000000369e+00,-2.515008460043873795e-01,-1.671848234563981128e+00,2.383179799293857482e-01
5.291999999999999815e+00,-2.530539493825363362e-01,-1.434358521733980929e+00,2.366614457306150943e-01
5.293000000000000149e+00,-2.543702579634614103e-01,-1.198258640116206308e+00,2.355383175049341471e-01
5.294000000000000483e+00,-2.554509524712926805e-01,-9.631303755463400673e-01,2.347182116347978909e-01
5.294999999999999929e+00,-2.562972565928949287e-01,-7.294778676581302745e-01,2.325868041416214727e-01
5.296000000000000263e+00,-2.569101423306066057e-01,-4.962936077652253530e-01,2.337817156441881483e-01
5.296999999999999709e+00,-2.572891978087508691e-01,-2.618173485233197262e-01,2.351708028396231054e-01
5.298000000000000043e+00,-2.574338986812084173e-01,-2.758439639178981995e-02,2.332951014234367904e-01
5.299000000000000377e+00,-2.573451957196074003e-01,2.049903195939272171e-01,2.318543305479973116e-01
5.299999999999999822e+00,-2.570243252244181487e-01,4.367506707845135172e-01,2.316663718331753996e-01
5.301000000000000156e+00,-2.564724287535853353e-01,6.670422708810680446e-01,2.289168283599337661e-01
5.302000000000000490e+00,-2.556905770878658002e-01,8.966610605580264126e-01,2.303207509939829700e-01
5.302999999999999936e+00,-2.546787778137223346e-01,1.126937487728948195e+00,2.302321033478608170e-01
5.304000000000000270e+00,-2.534374993830609268e-01,1.355619373593887289e+00,2.271316683820173710e-01
5.304999999999999716e+00,-2.519684419988827973e-01,1.582495394762353680e+00,2.266203739549154106e-01
5.306000000000000050e+00,-2.502734336772980406e-01,1.807521248407161440e+00,2.234313333347001107e-01
5.307000000000000384e+00,-2.483554530409772532e-01,2.028440024234396066e+00,2.184062183197691409e-01
5.307999999999999829e+00,-2.462182007075142676e-01,2.246064642691549373e+00,2.168430185945365851e-01
5.309000000000000163e+00,-2.438641080859868249e-01,2.462120600363364886e+00,2.152688967490944405e-01
5.310000000000000497e+00,-2.412949229311645294e-01,2.676249709281199873e+00,2.129893210865764219e-01
5.310999999999999943e+00,-2.385121519938994683e-01,2.889292165248928956e+00,2.130955908488817441e-01
5.312000000000000277e+00,-2.355159453221558896e-01,3.103121178238241296e+00,2.145624351297429344e-01
5.312999999999999723e+00,-2.323062191892696360e-01,3.316331087534246880e+00,2.118573834622682339e-01
5.314000000000000057e+00,-2.288854044333810400e-01,3.525298424242983231e+00,2.060772899552053561e-01
5.315000000000000391e+00,-2.252580023867650216e-01,3.729505668989060663e+00,2.023371995369486198e-01
5.315999999999999837e+00,-2.214275971788000619e-01,3.931304746940824213e+00,2.012609563665767043e-01
5.317000000000000171e+00,-2.173963715618545400e-01,4.131146486950226127e+00,1.984225236522262348e-01
5.318000000000000504e+00,-2.131676085217174554e-01,4.326379593323970596e+00,1.920436890952609277e-01
5.318999999999999950e+00,-2.087458388715873192e-01,4.517159706936263674e+00,1.895165381293252294e-01
5.320000000000000284e+00,-2.041340722966007437e-01,4.706373443036897974e+00,1.889109340719415941e-01
5.320999999999999730e+00,-1.993341361344649343e-01,4.893498881234731535e+00,1.853399423237219734e-01
5.322000000000000064e+00,-1.943481377640430829e-01,5.078497859608941845e+00,1.846580144246986466e-01
5.323000000000000398e+00,-1.891771389525879754e-01,5.263499763301311418e+00,1.853457929600422771e-01
5.323999999999999844e+00,-1.838218867778240173e-01,5.447004586226580791e+00,1.816638528904946925e-01
5.325000000000000178e+00,-1.782847576284923297e-01,5.627253712436826483e+00,1.788343995299931377e-01
5.326000000000000512e+00,-1.725695203072611372e-01,5.803220930025541513e+00,1.731000356474369228e-01
5.326999999999999957e+00,-1.666811614438425959e-01,5.973496796811530452e+00,1.674516979245445070e-01
