time,disp,vel,accel
1.254000000000000092e+01,1.446744941403109354e-04,-2.682515968728176568e-03,-2.733780857591296964e-01
1.255000000000000071e+01,1.085217237638203875e-04,-4.548038106569933341e-03,-9.972634180922179681e-02
1.256000000000000050e+01,6.531168858332722399e-05,-4.093968929528699584e-03,1.905401772174686315e-01
1.257000000000000028e+01,4.182303182923922518e-05,-6.037624212889003417e-04,5.075011244304912239e-01
1.258000000000000007e+01,6.276191661000400765e-05,4.791539377441856457e-03,5.715592353156602190e-01
1.258999999999999986e+01,1.286362300890114352e-04,8.383323318359628407e-03,1.467975528678944208e-01
1.259999999999999964e+01,2.109976444421824110e-04,8.088959552274566089e-03,-2.056703060849063291e-01
1.260999999999999943e+01,2.796782570635075803e-04,5.647162971990467989e-03,-2.826890099719134852e-01
1.262000000000000099e+01,3.195034950091492918e-04,2.317884617137874748e-03,-3.831666609986053018e-01
1.263000000000000078e+01,3.230840711075616913e-04,-1.601769397455394834e-03,-4.007641419200486110e-01
1.264000000000000057e+01,2.905547755001537278e-04,-4.904089724026198735e-03,-2.596999233941120755e-01
1.265000000000000036e+01,2.350017917856408317e-04,-6.206507018876381357e-03,-7.835355759241435791e-04
1.266000000000000014e+01,1.799186921046040362e-04,-4.810112917330978607e-03,2.800623558850049433e-01
1.266999999999999993e+01,1.503355508098590438e-04,-1.106515341618020086e-03,4.606571592575868790e-01
1.267999999999999972e+01,1.623649553661275639e-04,3.512396252871724089e-03,4.631251596403619386e-01
1.268999999999999950e+01,2.139289483435504737e-04,6.800402342612857018e-03,1.944760583078649629e-01
1.270000000000000107e+01,2.822344228866094872e-04,6.860692565998945461e-03,-1.824180136306473576e-01
1.271000000000000085e+01,3.341338648987185835e-04,3.519195836422872939e-03,-4.858813322845670912e-01
1.272000000000000064e+01,3.429063210616542317e-04,-1.764704603835743311e-03,-5.708987557671562074e-01
1.273000000000000043e+01,2.999311992523483704e-04,-6.830319758025429379e-03,-4.422242750707808812e-01
1.274000000000000021e+01,2.158020895119314143e-04,-9.995502190057962283e-03,-1.908122113357254568e-01
1.275000000000000000e+01,1.153306181891982182e-04,-1.009879207448867791e-02,1.701542344495824421e-01
1.275999999999999979e+01,3.026980345042100913e-05,-6.913370873266763000e-03,4.669300057948008176e-01
1.276999999999999957e+01,-1.439142562052305994e-05,-2.018874940922050706e-03,5.119691806741416551e-01
1.278000000000000114e+01,-1.333575641733807123e-05,2.230008781559048286e-03,3.378075638220782162e-01
1.279000000000000092e+01,1.710896260668450691e-05,3.858935023245467586e-03,-1.202231548479448797e-02
1.280000000000000071e+01,4.802324758028157049e-05,2.323921971473944751e-03,-2.949802948695101623e-01
1.281000000000000050e+01,5.650163368917457277e-05,-6.282447496953442404e-04,-2.954530493643476863e-01
1.282000000000000028e+01,3.844828943890283971e-05,-2.982424100359002371e-03,-1.753828207683839069e-01
1.283000000000000007e+01,6.457600347870499892e-07,-4.578081780464155447e-03,-1.437487152526465972e-01
1.283999999999999986e+01,-5.335437817513980153e-05,-6.221945861521214170e-03,-1.850241009587652585e-01
1.284999999999999964e+01,-1.211917818645498956e-04,-7.345534876360803288e-03,-3.969370200915273150e-02
1.285999999999999943e+01,-1.901896000135957251e-04,-6.454028753448362403e-03,2.179949265916407142e-01
1.287000000000000099e+01,-2.415725878520932131e-04,-3.822568814251134546e-03,3.082970612478047046e-01
1.288000000000000078e+01,-2.644428097485166523e-04,-7.514755650335535123e-04,3.059215885957114467e-01
1.289000000000000057e+01,-2.609876722058937721e-04,1.442503073558129567e-03,1.328741391226251900e-01
1.290000000000000036e+01,-2.450476309064689683e-04,1.745505186326831194e-03,-7.227371656888487150e-02
1.291000000000000014e+01,-2.333914108268179066e-04,5.857388296033813613e-04,-1.596795547758051437e-01
1.291999999999999993e+01,-2.380490529011622619e-04,-1.517267244472252433e-03,-2.609216600393216012e-01
1.292999999999999972e+01,-2.677269385124000423e-04,-4.418309877775303436e-03,-3.192868666212886897e-01
