elem_id,n1,n2,x_mid,y_mid,z_mid,x1,y1,z1,x2,y2,z2,length,orientation,element_type,N_max,V_max,M_max,sigma_axial,sigma_bending,sigma_combined,tau_shear,utilization,shear_utilization
60,185,224,36000.0,16000.0,21000.0,32000.0,16000.0,21000.0,40000.0,16000.0,21000.0,8000.0,x-direction,beam_x,0.23893275726909513,1.803651210789341e-06,0.011048194885798751,0.006637021035252643,0.0003068943023832986,0.006943915337635941,7.515213378288921e-08,0.0004629276891757294,3.0060853513155684e-08
61,4,43,4000.0,0.0,27000.0,0.0,0.0,27000.0,8000.0,0.0,27000.0,8000.0,x-direction,beam_x,0.05994126005483715,5.83967411489795e-06,0.03472451568182325,0.0016650350015232542,0.0009645698800506458,0.0026296048815739,2.433197547874146e-07,0.00017530699210492666,9.732790191496583e-08
62,43,82,12000.0,0.0,27000.0,8000.0,0.0,27000.0,16000.0,0.0,27000.0,8000.0,x-direction,beam_x,0.04148026919247085,8.319278740971126e-05,0.42463277248185444,0.001152229699790857,0.011795354791162624,0.01294758449095348,3.466366142071302e-06,0.0010789653742461233,1.3865464568285208e-06
63,82,121,20000.0,0.0,27000.0,16000.0,0.0,27000.0,24000.0,0.0,27000.0,8000.0,x-direction,beam_x,0.06459876080240005,3.917323280467852e-11,0.20297645694607888,0.0017944100222888903,0.005638234915168857,0.007432644937457747,1.6322180335282717e-12,0.0004955096624971832,6.528872134113086e-13
64,121,160,28000.0,0.0,27000.0,24000.0,0.0,27000.0,32000.0,0.0,27000.0,8000.0,x-direction,beam_x,0.04143999043775348,8.319281643654883e-05,0.4246329211465889,0.0011511108454931524,0.011795358920738581,0.012946469766231733,3.4663673515228677e-06,0.001078872480519311,1.3865469406091471e-06
65,160,199,36000.0,0.0,27000.0,32000.0,0.0,27000.0,40000.0,0.0,27000.0,8000.0,x-direction,beam_x,0.059958245527603767,5.839680789895669e-06,0.034724535914183036,0.0016655068202112158,0.0009645704420606399,0.002630077262271856,2.433200329123196e-07,0.00017533848415145705,9.732801316492784e-08
66,17,56,4000.0,8000.0,27000.0,0.0,8000.0,27000.0,8000.0,8000.0,27000.0,8000.0,x-direction,beam_x,1.242128830199487e-06,8.307508503915848e-06,0.045277454810142254,3.4503578616652413e-08,0.001257707078059507,0.0012577415816381237,3.4614618766316036e-07,8.384943877587492e-05,1.3845847506526414e-07
67,56,95,12000.0,8000.0,27000.0,8000.0,8000.0,27000.0,16000.0,8000.0,27000.0,8000.0,x-direction,beam_x,1.0899448286909067e-05,8.490866449806011e-05,0.4296351186881394,3.0276245241414077e-07,0.011934308852448316,0.01193461161490073,3.5378610207525046e-06,0.0007956407743267154,1.4151444083010018e-06
68,95,134,20000.0,8000.0,27000.0,16000.0,8000.0,27000.0,24000.0,8000.0,27000.0,8000.0,x-direction,beam_x,1.354216837359849e-06,2.4068694953749413e-14,0.2030246923780835,3.7617134371106914e-08,0.005639574788280096,0.005639612405414467,1.002862289739559e-15,0.0004699677004512056,4.011449158958236e-16
69,134,173,28000.0,8000.0,27000.0,24000.0,8000.0,27000.0,32000.0,8000.0,27000.0,8000.0,x-direction,beam_x,1.089499443365186e-05,8.490863207476962e-05,0.4296349600307583,3.0263873426810724e-07,0.011934304445298841,0.011934607084033108,3.537859669782068e-06,0.0007956404722688739,1.415143867912827e-06
