t_s,Ux_T1_cm,Ux_T2_cm,Uy_T1_cm,Uy_T2_cm
7.5200,-0.22061376,-0.22061541,0.00000838,0.00000111
7.5400,-0.34922942,-0.34921274,-0.00007804,-0.00008979
7.5600,-0.23710219,-0.23707950,-0.00006056,-0.00006799
7.5800,0.04921407,0.04923124,-0.00000862,-0.00000748
7.6000,0.30348422,0.30347638,0.00004435,0.00005467
7.6200,0.35593901,0.35591304,0.00000742,0.00001902
7.6400,0.16524405,0.16521542,-0.00007745,-0.00007213
7.6600,-0.12683445,-0.12684574,-0.00017041,-0.00017425
7.6800,-0.30902518,-0.30900527,-0.00017670,-0.00018744
7.7000,-0.25850127,-0.25847000,-0.00006959,-0.00007746
7.7200,-0.03129272,-0.03126454,0.00009203,0.00009025
7.7400,0.21296463,0.21295982,0.00023705,0.00024459
7.7600,0.33591612,0.33588507,0.00022063,0.00023123
7.7800,0.26167469,0.26163376,0.00005810,0.00006668
7.8000,0.04528686,0.04526460,-0.00019453,-0.00019281
7.8200,-0.17436010,-0.17434366,-0.00037349,-0.00037971
7.8400,-0.25974575,-0.25970843,-0.00038324,-0.00039114
7.8600,-0.15405869,-0.15401918,-0.00021234,-0.00021816
7.8800,0.07470131,0.07470425,0.00005032,0.00005343
7.9000,0.27159000,0.27156148,0.00026008,0.00026830
7.9200,0.30822736,0.30817944,0.00030878,0.00031929
7.9400,0.16075541,0.16072540,0.00016396,0.00016913
7.9600,-0.10565661,-0.10564763,-0.00005025,-0.00005382
7.9800,-0.33038222,-0.33034252,-0.00019845,-0.00020881
8.0000,-0.36240799,-0.36235906,-0.00020275,-0.00021517
8.0200,-0.18032279,-0.18030474,-0.00004013,-0.00004543
8.0400,0.10793673,0.10791986,0.00015750,0.00016048
8.0600,0.31475674,0.31471121,0.00027558,0.00028649
8.0800,0.28396598,0.28393029,0.00023157,0.00024048
8.1000,0.05187825,0.05187478,0.00009088,0.00009274
8.1200,-0.18347356,-0.18344655,-0.00014086,-0.00014658
8.1400,-0.30826484,-0.30822098,-0.00026021,-0.00027102
8.1600,-0.25461723,-0.25459487,-0.00018988,-0.00019734
8.1800,-0.01473500,-0.01473863,-0.00003401,-0.00003537
8.2000,0.23731047,0.23727496,0.00012897,0.00013740
8.2200,0.31108174,0.31104769,0.00020574,0.00021564
8.2400,0.16130314,0.16129072,0.00016311,0.00016850
8.2600,-0.09285188,-0.09283632,0.00002860,0.00002569
8.2800,-0.26879533,-0.26876051,-0.00010694,-0.00011624
8.3000,-0.23788024,-0.23785802,-0.00014971,-0.00015707
8.3200,-0.00763520,-0.00763341,-0.00012208,-0.00012310
8.3400,0.27196996,0.27194062,-0.00007229,-0.00006262
8.3600,0.36904580,0.36901297,-0.00007255,-0.00006075
8.3800,0.14781007,0.14779469,-0.00004117,-0.00003601
8.4000,-0.22729602,-0.22728147,-0.00000100,-0.00000815
8.4200,-0.47036763,-0.47032776,0.00009049,0.00007447
8.4400,-0.40573305,-0.40570192,0.00024510,0.00023239
8.4600,-0.06737637,-0.06736563,0.00035993,0.00035691
8.4800,0.30685978,0.30683275,0.00035328,0.00036417
8.5000,0.43186482,0.43182665,0.00015602,0.00016981
8.5200,0.19950570,0.19947972,-0.00010721,-0.00010028
8.5400,-0.20039860,-0.20039235,-0.00035954,-0.00036593
8.5600,-0.46044305,-0.46040199,-0.00041130,-0.00042712
8.5800,-0.35395072,-0.35391364,-0.00026064,-0.00027153
8.6000,0.06503478,0.06505353,0.00000219,0.00000302
8.6200,0.49446536,0.49443302,0.00021371,0.00023119
8.6400,0.59951663,0.59946766,0.00022532,0.00024397
8.6600,0.27453442,0.27449060,0.00009295,0.00010274
8.6800,-0.22739308,-0.22739371,-0.00013607,-0.00014386
8.7000,-0.53662176,-0.53657826,-0.00026505,-0.00028300
8.7200,-0.44365617,-0.44360515,-0.00023114,-0.00024502
8.7400,-0.05458800,-0.05455238,-0.00002686,-0.00002981
8.7600,0.35382305,0.35380041,0.00020187,0.00021493
8.7800,0.51329768,0.51324876,0.00026446,0.00028001
8.8000,0.30388255,0.30382552,0.00016675,0.00017792
8.8200,-0.13118132,-0.13119223,-0.00004733,-0.00005222
8.8400,-0.50292985,-0.50288966,-0.00017498,-0.00019139
8.8600,-0.53972145,-0.53965782,-0.00014518,-0.00016258
8.8800,-0.20382965,-0.20378079,0.00002132,0.00001382
